filename,width,height,class,xmin,ymin,xmax,ymax
154_DJI_0077 (2).jpg,1920,1080,Compression/Crimped Splice,721,519,1283,723
389.jpg,1920,1080,Ceramic/Porcelain Insulator,985,115,1061,244
389.jpg,1920,1080,Ceramic/Porcelain Insulator,670,280,775,443
389.jpg,1920,1080,Ceramic/Porcelain Insulator,487,408,610,595
389.jpg,1920,1080,Ceramic/Porcelain Insulator,1331,587,1413,723
389.jpg,1920,1080,Ceramic/Porcelain Insulator,1261,755,1371,887
389.jpg,1920,1080,Ceramic/Porcelain Insulator,793,669,914,799
389.jpg,1920,1080,Ceramic/Porcelain Insulator,395,600,514,704
389.jpg,1920,1080,Polymer Arrester,889,211,958,287
389.jpg,1920,1080,Polymer Arrester,445,508,526,609
389.jpg,1920,1080,Compression/Crimped Splice,1161,555,1514,655
389.jpg,1920,1080,Compression/Crimped Splice,1571,443,1920,542
194.jpg,1920,1080,Ceramic/Porcelain Insulator,509,1,605,111
194.jpg,1920,1080,Ceramic/Porcelain Insulator,610,1,697,91
194.jpg,1920,1080,Ceramic/Porcelain Insulator,765,1,824,53
194.jpg,1920,1080,Polymer Arrester,690,76,773,171
398_DJI_0199 (2).jpg,1920,1080,Jiffy Splice,1039,263,1631,389
398_DJI_0199 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,1,323,121,740
398_DJI_0199 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,170,431,399,791
398_DJI_0199 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,541,539,721,852
398_DJI_0199 (2).jpg,1920,1080,Ceramic/Porcelain Insulator,735,596,907,876
498_DJI_0262.jpg,1920,1080,Ceramic/Porcelain Insulator,745,167,802,259
498_DJI_0262.jpg,1920,1080,Ceramic/Porcelain Insulator,798,111,861,209
498_DJI_0262.jpg,1920,1080,Ceramic/Porcelain Insulator,986,199,1046,301
498_DJI_0262.jpg,1920,1080,Dead-end Ceramic Insulator,639,252,777,316
498_DJI_0262.jpg,1920,1080,Dead-end Ceramic Insulator,705,277,859,353
498_DJI_0262.jpg,1920,1080,Dead-end Ceramic Insulator,874,299,1009,372
498_DJI_0262.jpg,1920,1080,Dead-end Ceramic Insulator,1031,279,1145,328
174_DJI_0087 (2).jpg,1920,1080,Mushroom Insulator,801,343,826,364
174_DJI_0087 (2).jpg,1920,1080,Mushroom Insulator,853,336,877,359
